PartitionKey,RowKey,Timestamp,Value
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_PO_InvoicingMatchingTolerance,6/5/2016,Invoicing Matching tolerance
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_PO_OrderTotal,6/5/2016,Order Total
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_PO_OrderValue,6/5/2016,Order Value
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_PO_OrderFreightCharges,6/5/2016,Order Freight charges
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_PO_OrderOtherCharges,6/5/2016,Order Other charges
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_PO_SubTotal,13/2/2017,Sub Total
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_PO_LineTotal,6/5/2016,Line Total
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_PO_LineQuantity,6/5/2016,Line Quantity
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_PO_LinePrice,6/5/2016,Line Price
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_PO_LineTaxes,6/5/2016,Line Taxes
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_PO_LineFreightCharges,6/5/2016,Line Freight Charges
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_PO_LineOtherCharges,6/5/2016,Line Other Charges
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_PO_ReceivingTolerance,6/5/2016,Receiving Tolerance
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_PO_Material,6/5/2016,Material
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_PO_OrderTotal,6/5/2016,Order Total
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_PO_MaterialReceiving,6/5/2016,Material Receiving
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_PO_ServiceReceiving,6/5/2016,Service Receiving
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_PO_TermsAndCondition,6/5/2016,Terms And Condition
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_PO_Attachments,6/5/2016,Attachments
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_PO_LineDetails,6/5/2016,Line Details
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_PO_LineNo,6/5/2016,Line
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_PO_LineType,6/5/2016,Type
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_PO_ItemNumber,6/5/2016,Item Number
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_PO_PartnerItemName,6/5/2016,Line Description
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_PO_SupplierName,6/5/2016,Supplier Name
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_PO_PartnerItemNumber,6/5/2016,Supplier Item Number
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_PO_Category,6/5/2016,Category
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_PO_Quantity,6/5/2016,Quantity
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_PO_UOM,6/5/2016,UOM
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_PO_UnitPrice,6/5/2016,Unit Price
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_PO_StartDate,6/5/2016,Start Date
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_PO_EndDate,6/5/2016,End Date
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_PO_LineTotal,6/5/2016,Line Total
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_PO_Taxes,6/5/2016,Taxes
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_PO_OtherCharges,6/5/2016,Other Charges
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_PO_ShippingCharges,6/5/2016,Freight
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_PO_RequestedDate,6/5/2016,Requested Date
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_PO_NeedByDate,6/5/2016,Need By Date
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_PO_ShippingMethod,6/5/2016,Shipping Method
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_PO_ShipTo,6/5/2016,Ship To
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_PO_ShipToAddress,6/5/2016,Ship To Address
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_PO_DeliverTo,6/5/2016,Deliver To
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_PO_ReceivingStatus,6/5/2016,Receiving Status
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_PO_InvoicingStatus,6/5/2016,Invoicing Status
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_PO_Split,6/5/2016,Split
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_PO_SplitNumber,6/5/2016,Split Number
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_PO_Quantity,6/5/2016,Quantity
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_PO_SplitValue,6/5/2016,Split Value
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_PO_Taxes,6/5/2016,Taxes
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_PO_TotalSplitValue,6/5/2016,Total Split Value
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_PO_Requester,6/5/2016,Requester
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_PO_Department,6/5/2016,Department
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_PO_BusinessUnit,6/5/2016,Business Unit
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_PO_AccountNumber,6/5/2016,Account Number
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_PO_ProjectId,6/5/2016,Project ID
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_PO_GLCode,6/5/2016,GL Code
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_PO_Period,6/5/2016,Period
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_PO_OrderValue,6/5/2016,Order Value
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_PO_OrderTotal,6/5/2016,Order Total
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_PO_ShippingCharges,6/5/2016,Freight
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_PO_Prorate,6/5/2016,Prorate
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_PO_Taxes&Charges,6/5/2016,Taxes & Charges
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_PO_TransitType,6/5/2016,Transit
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_PO_FOBLocation,6/5/2016,Location
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_PO_Carriers,6/5/2016,Carriers
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_PO_SupplierCode,6/5/2016,Supplier Code
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_PO_OrderingLocation,6/5/2016,Ordering Location
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_PO_Address,6/5/2016,Address
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_PO_Currency,6/5/2016,Currency 
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_Order_OrderRejectedSuccessfully,10/08/16,The Order is rejected.
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_Order_FailedinRejectingOrder,10/08/16,The Order is not rejected. 
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_Order_OrderApprovedSuccessfully,10/08/16,The Order is approved.
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_Order_FailedinApprovingOrder,10/08/16,The Order is not approved. 
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_Order_Approve,10/08/16,APPROVE 	
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_Order_Reject,10/08/16,REJECT
